Total Population,American Indian and Alaska Native,Asian,African American,Native Hawaiian and Other Pacific Islander,White,Some Other Race,Two or More Races,Hispanic or Latino
Pacific Palisades,"23,648",0,"1,528",180,0,"19,245",192,"2,122"
Pacoima,"70,417",657,"1,476","2,225",43,"1,734","26,939","24,943"
Palms,"28,075",212,"5,805","2,553",46,"11,460","3,048","3,663"
Panorama City,"64,841",587,"9,161","1,935",101,"7,005","36,118","6,226"
Picfair Village,"2,799",15,112,961,22,"1,004",9,496
Pico Park,"2,674",39,98,523,0,408,467,930
Pico-Union,"15,914",573,"1,263",409,8,803,"8,226","1,537"
Playa del Rey,"12,919",42,"1,455",491,10,"8,304",564,"1,426"
Playa Vista,"10,392",0,"1,746",581,0,"5,912",306,"1,574"
Porter Ranch,"25,599",171,"8,763","2,278",144,"10,606",861,"2,234"
Rampart Village,"5,731",26,"1,820",396,0,925,"1,616",478
Rancho Park,"9,409",8,"1,886",347,24,"5,442",469,995
Redondo Sycamore,"2,525",1,262,576,0,"1,108",234,215
Reseda,"65,444",633,"8,798","3,192",212,"16,132","22,593","8,299"
San Pedro,"83,697",808,"5,677","4,216",351,"26,747","14,293","15,843"
Sepulveda Dam Recreation Area,205,0,26,0,0,80,80,0
Shadow Hills,"4,021",18,185,101,0,"2,918",45,712
Sherman Oaks,"67,774",208,"5,016","3,746",90,"43,079","3,450","9,489"
Silver Lake,"35,244",247,"4,772","1,114",147,"16,339","5,445","4,827"
South Carthay,"3,333",9,189,177,0,"1,790",292,610
South Park,"50,983","1,208",97,"4,127",129,432,"25,436","11,178"
South Robertson,"44,805",392,"3,718","4,784",48,"23,285","5,468","5,845"
Studio City,"39,507",143,"3,317","2,053",0,"27,050","1,121","4,804"
Sun Valley,"43,627",555,"2,308","1,161",111,"9,804","11,212","12,887"
Sunland,"17,961",74,"1,666",644,6,"10,886","1,224","2,543"
Sycamore Grove,"6,781",135,"1,446",231,0,"1,217","2,797",665
Sylmar,"80,623","1,444","5,973","2,380",311,"8,554","26,407","18,778"
Tarzana,"12,611",6,838,654,0,"9,289",351,"1,343"
Terminal Island,970,16,49,137,10,407,10,0
Toluca Lake,"4,390",0,309,129,47,"2,905",237,582
Toluca Woods,"2,990",0,265,247,0,"1,657",340,374
Topanga State Park,75,0,10,0,0,65,0,0
Tujunga,"25,988",222,"2,329",473,30,"14,888","2,635","4,387"
University Expo Park West,"19,183",559,"1,486","3,635",95,"1,090","7,061","2,826"
University Hills,"5,128",104,865,365,0,731,"1,803",993
University Park,"24,605",237,"6,416","1,664",32,"6,590","4,355","3,164"
